DESCRIPTION,DURATION IN MS,NAME,PARENT SUITE,START TIME,STATUS,STOP TIME,SUB SUITE,SUITE,TEST CLASS,TEST METHOD
,18,verifyPageTitle,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.home.HomePageTest,Surefire test,com.tests.home.HomePageTest,verifyPageTitle
,35,verifyLoginButtonDisplayed,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.login.LoginPageElementsTest,Surefire test,com.tests.login.LoginPageElementsTest,verifyLoginButtonDisplayed
,270,verifyPasswordToggleChangesPasswordType,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.login.LoginPageValidationsTest,Surefire test,com.tests.login.LoginPageValidationsTest,verifyPasswordToggleChangesPasswordType
,131,verifyEmptyFormSubmissionShowsErrors,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.login.LoginPageValidationsTest,Surefire test,com.tests.login.LoginPageValidationsTest,verifyEmptyFormSubmissionShowsErrors
,10221,verifyEmptyEmailShowsError,Surefire suite,10/10/2025,broken,10/10/2025,com.tests.login.LoginPageValidationsTest,Surefire test,com.tests.login.LoginPageValidationsTest,verifyEmptyEmailShowsError
,36,verifyPageIsLoadedSuccessfuly,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.login.LoginPageElementsTest,Surefire test,com.tests.login.LoginPageElementsTest,verifyPageIsLoadedSuccessfuly
,32,verifyPasswordFieldDisplayed,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.login.LoginPageElementsTest,Surefire test,com.tests.login.LoginPageElementsTest,verifyPasswordFieldDisplayed
,20250,verifyCheckoutFlow,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.e2e.orders.CheckoutE2ETest,Surefire test,com.tests.e2e.orders.CheckoutE2ETest,verifyCheckoutFlow
,29,verifyNewletterFieldDisplayed,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.register.RegisterPageElementsTest,Surefire test,com.tests.register.RegisterPageElementsTest,verifyNewletterFieldDisplayed
,1718,verifySuccessfulLoginTest,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.login.LoginSuccessfulTest,Surefire test,com.tests.login.LoginSuccessfulTest,verifySuccessfulLoginTest
,2481,verifyProdCatogryLinksAreWorking,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.home.HomePageTest,Surefire test,com.tests.home.HomePageTest,verifyProdCatogryLinksAreWorking
,524,verifyShoppingcartPageRedirection,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.home.HomePageTest,Surefire test,com.tests.home.HomePageTest,verifyShoppingcartPageRedirection
,14833,verifyFooterLinksAreWorking,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.home.HomePageTest,Surefire test,com.tests.home.HomePageTest,verifyFooterLinksAreWorking
,204,verifyPasswordTooShortError,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.register.RegisterValidationsTest,Surefire test,com.tests.register.RegisterValidationsTest,verifyPasswordTooShortError
,120,verifyGenderFieldDisplayed,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.register.RegisterPageElementsTest,Surefire test,com.tests.register.RegisterPageElementsTest,verifyGenderFieldDisplayed
,31,verifySearchBoxIsVisible,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.home.HomePageTest,Surefire test,com.tests.home.HomePageTest,verifySearchBoxIsVisible
,591,verifyPasswordRecoveryPageNavigation,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.login.LoginPageValidationsTest,Surefire test,com.tests.login.LoginPageValidationsTest,verifyPasswordRecoveryPageNavigation
,685,verifyLoginLinkRedirectsToLoginPage,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.home.HomePageTest,Surefire test,com.tests.home.HomePageTest,verifyLoginLinkRedirectsToLoginPage
,11326,verifyExistingEmailShowsError,Surefire suite,10/10/2025,broken,10/10/2025,com.tests.register.RegisterValidationsTest,Surefire test,com.tests.register.RegisterValidationsTest,verifyExistingEmailShowsError
,38,verifyPageIsLoadedSuccessfully,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.register.RegisterPageElementsTest,Surefire test,com.tests.register.RegisterPageElementsTest,verifyPageIsLoadedSuccessfully
,31,verifyEmailFieldDisplayed,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.register.RegisterPageElementsTest,Surefire test,com.tests.register.RegisterPageElementsTest,verifyEmailFieldDisplayed
,26,verifyEmailFieldDisplayed,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.login.LoginPageElementsTest,Surefire test,com.tests.login.LoginPageElementsTest,verifyEmailFieldDisplayed
,28,verifyRemembermeFiledDisplayed,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.login.LoginPageElementsTest,Surefire test,com.tests.login.LoginPageElementsTest,verifyRemembermeFiledDisplayed
,503,verifyWishlistPageRedirection,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.home.HomePageTest,Surefire test,com.tests.home.HomePageTest,verifyWishlistPageRedirection
,383,verifyPasswordMismatchShowsError,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.register.RegisterMandatoryFieldsTests,Surefire test,com.tests.register.RegisterMandatoryFieldsTests,verifyPasswordMismatchShowsError
,27,verifyRegisterButtonDisplayed,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.register.RegisterPageElementsTest,Surefire test,com.tests.register.RegisterPageElementsTest,verifyRegisterButtonDisplayed
,10764,verfyPartiallyFilledFormShowsErrors,Surefire suite,10/10/2025,broken,10/10/2025,com.tests.register.RegisterMandatoryFieldsTests,Surefire test,com.tests.register.RegisterMandatoryFieldsTests,verfyPartiallyFilledFormShowsErrors
,190,verifyEmptyFormSubmissionShowsErrors,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.register.RegisterMandatoryFieldsTests,Surefire test,com.tests.register.RegisterMandatoryFieldsTests,verifyEmptyFormSubmissionShowsErrors
,39,verifyLogoIsDisplayed,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.home.HomePageTest,Surefire test,com.tests.home.HomePageTest,verifyLogoIsDisplayed
,115,verifyForgotPasswordDisplayed,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.login.LoginPageElementsTest,Surefire test,com.tests.login.LoginPageElementsTest,verifyForgotPasswordDisplayed
,41,verifyCompanyNameFieldDisplayed,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.register.RegisterPageElementsTest,Surefire test,com.tests.register.RegisterPageElementsTest,verifyCompanyNameFieldDisplayed
,2097,verifySuccessfulRegistrationFlow,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.register.RegisterSuccessfulTest,Surefire test,com.tests.register.RegisterSuccessfulTest,verifySuccessfulRegistrationFlow
,253,verifyIncorrectEmailFormatShowsError,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.register.RegisterValidationsTest,Surefire test,com.tests.register.RegisterValidationsTest,verifyIncorrectEmailFormatShowsError
,519,verifyRegisterLinkRedirectsToRegisterPage,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.home.HomePageTest,Surefire test,com.tests.home.HomePageTest,verifyRegisterLinkRedirectsToRegisterPage
,22,verifyFeaturedProductsAreVisible,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.home.HomePageTest,Surefire test,com.tests.home.HomePageTest,verifyFeaturedProductsAreVisible
,44,verifyPasswordFieldsDisplayed,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.register.RegisterPageElementsTest,Surefire test,com.tests.register.RegisterPageElementsTest,verifyPasswordFieldsDisplayed
,575,verifyEmptyPasswordShowsError,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.login.LoginPageValidationsTest,Surefire test,com.tests.login.LoginPageValidationsTest,verifyEmptyPasswordShowsError
,995,verifyLogoRedirectsToHomePage,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.home.HomePageTest,Surefire test,com.tests.home.HomePageTest,verifyLogoRedirectsToHomePage
,70,verifyRegisterBlockDisplayed,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.login.LoginPageElementsTest,Surefire test,com.tests.login.LoginPageElementsTest,verifyRegisterBlockDisplayed
,44,verifyNameFieldsDisplayed,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.register.RegisterPageElementsTest,Surefire test,com.tests.register.RegisterPageElementsTest,verifyNameFieldsDisplayed
